Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,Population_Density
5599,27th week,Madhya Pradesh,Shahdol,Acute Diarrhoeal Disease,8,1.0,5,7,2013,23.3002343,81.364771,1.586628332,5.0,302.6,236
5600,27th week,Madhya Pradesh,Datia,Acute Diarrhoeal Disease,15,1.0,3,7,2013,25.75,78.5,0.9415686486,,301.6,236
5601,27th week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,35,,4,7,2013,26.166667,77.5,0.3363460802,,302.5666666,236
5602,27th week,Madhya Pradesh,Ujjain,Acute Diarrhoeal Disease,22,,1,7,2013,23.1885131,75.7716562,0.806458071,3.0,302.44,236
5603,27th week,Odisha,Dhenkanal,Acute Diarrhoeal Disease,15,,30,6,2013,20.75,85.5,1.067872922,6.0,296.4133334,269
5604,27th week,Rajasthan,Bhilwara,Acute Diarrhoeal Disease,36,,2,7,2013,25.48877345,74.69961284,0.02729033978,5.0,310.9066666,201
5605,27th week,Uttar Pradesh,Auraiya,Acute Diarrhoeal Disease,16,,29,6,2013,26.65573395,79.51504701,1.421101916,4.0,,828
5606,27th week,Uttar Pradesh,Hardoi,Acute Diarrhoeal Disease,12,,30,6,2013,27.33857665,80.09752646,0.6728428037,4.0,,828
5607,27th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,42,,2,7,2013,22.642931,88.8930579,0.8699962805,6.0,,1030
5608,27th week,West Bengal,Purulia,Acute Diarrhoeal Disease,15,,2,7,2013,23.3291882,86.3672378,0.4914722661,7.0,300.22,1030
5609,27th week,Assam,Jorhat,Acute Encephalitis Syndrome,42,15.0,5,1,2013,26.7577925,94.2079645,0.006444886221,30.0,294.3566666,397
5610,27th week,Assam,Baksa,Malaria,81,,14,6,2013,26.62758805,91.46190527,0.2857575343,36.0,300.855,397
5611,27th week,Assam,Dibrugarh,Acute Encephalitis Syndrome,89,18.0,17,1,2013,27.4844597,94.9019447,0.002030220395,,292.53000000000003,397
5612,27th week,Assam,Sibsagar,Acute Encephalitis Syndrome,43,17.0,29,1,2013,26.96388985,94.58213345,7.2e-05,9.0,296.0666666,397
5613,27th week,Assam,Tinsukia,Acute Encephalitis Syndrome,41,10.0,17,6,2013,27.52016575,95.53063473,0.1551163368,,306.4633334,397
5614,27th week,Assam,Lakhimpur,Acute Encephalitis Syndrome,15,8.0,2,3,2013,27.0827158,93.9978423,0.008773006531,14.0,303.0733334,397
5615,27th week,Chhattisgarh,Rajnandgaon,Acute Diarrhoeal Disease,49,,24,6,2013,20.9727404,80.69155548,1.319301587,7.0,301.81,189
5616,27th week,Karnataka,Shimoga,Cholera,42,,17,6,2013,13.9326093,75.574978,0.4859653322,,,319
5617,27th week,Karnataka,Tumkur,Chikungunya,31,,10,6,2013,13.3400771,77.1006208,0.4023775696,,,319
5618,27th week,Tamil Nadu,Vellore,Chikungunya,82,,20,6,2013,12.7948109,79.0006411,0.04334662083,9.0,307.72,555
5619,27th week,Uttar Pradesh,Firozabad,Acute Diarrhoeal Disease,15,,24,6,2013,27.17736635,78.38991198,0.03066648349,5.0,306.925,828
5620,27th week,West Bengal,Medinipur West,Acute Diarrhoeal Disease,87,,22,6,2013,22.4221814,87.3221281,0.5479036541,13.0,304.7266666,1030
5621,28th week,Telangana,Nizamabad,Acute Diarrhoeal Disease,12,,7,7,2013,18.75,78.25,0.4735748811,6.0,303.6,312
5622,28th week,Bihar,Sheikhpura,Acute Diarrhoeal Disease,12,1.0,5,7,2013,25.12635425,85.81510621,0.7978656253,10.0,,1102
5623,28th week,Jharkhand,West Singhbhum,Malaria,36,,5,7,2013,22.7859232,86.1716093,0.842585107,10.0,298.31,414
5624,28th week,Karnataka,Uttara Kannada,Acute Diarrhoeal Disease,14,1.0,6,7,2013,14.72447415,74.64223734,1.796459431,2.0,,319
5625,28th week,Madhya Pradesh,Rajgarh,Acute Diarrhoeal Disease,69,,10,7,2013,23.87167135,76.7748902,0.7578438445,2.0,307.74,236
5626,28th week,Madhya Pradesh,Bhopal,Acute Diarrhoeal Disease,15,,11,7,2013,23.2584857,77.401989,0.7935610429,,,236
5627,28th week,Madhya Pradesh,Shahdol,Malaria,34,,12,7,2013,23.3002343,81.364771,0.5748573541,,,236
5628,28th week,Maharashtra,Yavatmal,Acute Diarrhoeal Disease,26,,1,7,2013,20.32570375,78.11691397,2.074151107,3.0,,365
5629,28th week,Maharashtra,Jalna,Acute Diarrhoeal Disease,59,,9,7,2013,19.91883295,75.87085986,0.4127350501,4.0,300.1,365
5630,28th week,Maharashtra,Raigad,Malaria,34,,8,7,2013,18.4928092,73.13807095,1.196330382,2.0,,365
5631,28th week,Maharashtra,Parbhani,Acute Diarrhoeal Disease,59,,8,7,2013,19.29031365,76.60290343,0.2134294921,2.0,,365
5632,28th week,Punjab,Patiala,Acute Diarrhoeal Disease,12,,7,7,2013,30.2090874,76.33987209,0.2895728397,5.0,305.595,550
5633,28th week,Rajasthan,Udaipur,Malaria,40,2.0,1,7,2013,24.578721,73.6862571,0.08766171405,7.0,307.14,201
5634,28th week,Rajasthan,Udaipur,Acute Diarrhoeal Disease,27,,9,7,2013,24.578721,73.6862571,0.4031838046,4.0,,201
5635,28th week,Tamil Nadu,Thanjavur,Acute Diarrhoeal Disease,45,2.0,13,7,2013,10.7860267,79.1381497,0.08412576544,4.0,,555
5636,28th week,Uttarakhand,Rudraprayag,Acute Diarrhoeal Disease,41,1.0,8,7,2013,30.3009965,79.06287965,1.492103608,18.0,282.325,189
5637,28th week,Uttarakhand,Uttarkashi,Acute Diarrhoeal Disease,11,1.0,7,7,2013,30.7291049,78.4403495,0.9771555092,21.0,295.99,189
5638,28th week,Uttarakhand,Chamoli,Acute Diarrhoeal Disease,58,,13,7,2013,30.5,79.5,0.9531846172,5.0,280.6266666,189
5639,28th week,Uttarakhand,Dehradun,Acute Diarrhoeal Disease,45,2.0,7,7,2013,30.3255646,78.0436813,0.9771555092,21.0,295.99,189
5640,28th week,West Bengal,Burdwan,Acute Diarrhoeal Disease,140,1.0,6,7,2013,23.2495714,87.8681751,0.4920896206,9.0,,1030
5641,28th week,West Bengal,Burdwan,Acute Diarrhoeal Disease,64,,9,7,2013,23.2495714,87.8681751,0.1784036433,9.0,,1030
5642,28th week,West Bengal,Birbhum,Acute Diarrhoeal Disease,280,,9,7,2013,24.0,87.583333,0.2145851301,7.0,303.72,1030
5643,28th week,West Bengal,Birbhum,Acute Diarrhoeal Disease,37,1.0,5,7,2013,24.0,87.583333,0.6855644553,7.0,303.72,1030
5644,28th week,West Bengal,Birbhum,Acute Diarrhoeal Disease,34,,10,7,2013,24.0,87.583333,0.1480172777,7.0,,1030
5645,28th week,West Bengal,Bankura,Acute Diarrhoeal Disease,23,,11,7,2013,23.13195425,87.2073972,0.1753418573,,301.69,1030
5646,28th week,West Bengal,Bankura,Acute Diarrhoeal Disease,82,,11,7,2013,23.13195425,87.2073972,0.1753418573,,301.69,1030
5647,28th week,West Bengal,Howrah,Acute Diarrhoeal Disease,32,3.0,9,7,2013,22.5736296,88.3251045,0.3236214334,13.0,302.5066666,1030
5648,28th week,West Bengal,North 24 Parganas,Dengue,42,,5,7,2013,22.642931,88.8930579,0.9594689816,15.0,300.32,1030
5649,28th week,West Bengal,Purba Medinipur,Acute Diarrhoeal Disease,133,,3,7,2013,22.06217445,87.83672383,0.8392125134,,,1030
5650,28th week,Telangana,Nizamabad,Chikungunya,45,,29,6,2013,18.75,78.25,1.026627347,5.0,,312
5651,28th week,Karnataka,Udupi,Malaria,11,,22,6,2013,13.3419169,74.7473232,4.426548237,2.0,,319
5652,28th week,Kerala,Palakkad,Dengue,16,,24,6,2013,10.78789845,76.47408711,2.500895063,1.0,,859
5653,28th week,West Bengal,Burdwan,Acute Diarrhoeal Disease,37,,24,6,2013,23.2495714,87.8681751,0.8501508311,10.0,306.63,1030
5654,28th week,West Bengal,Burdwan,Dengue,173,,27,6,2013,23.2495714,87.8681751,0.55611224,7.0,309.92,1030
5655,28th week,Assam,Golaghat,Acute Encephalitis Syndrome,123,19.0,1,3,2013,26.40490095,94.03209112,0.0006522577008,25.0,300.6166666,397
5656,29th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,50,1.0,19,7,2013,15.8309251,78.0425373,0.5152907256,,,308
5657,29th week,Chhattisgarh,Dhamtari,Acute Diarrhoeal Disease,48,,15,7,2013,20.7084545,81.5481305,1.242766732,4.0,,189
5658,29th week,Gujarat,Anand,Cholera,23,,17,7,2013,22.5584995,72.9625629,1.081960605,1.0,,308
5659,29th week,Gujarat,Ahmedabad,Acute Diarrhoeal Disease,25,,15,7,2013,23.0216238,72.5797068,1.525266005,2.0,,308
5660,29th week,Gujarat,Kheda,Acute Diarrhoeal Disease,14,,17,7,2013,22.75,72.833333,1.540231603,2.0,,308
5661,29th week,Karnataka,Bangalore Urban,Acute Diarrhoeal Disease,56,,16,7,2013,12.94514225,77.553645,0.3346791728,2.0,,319
5662,29th week,Karnataka,Bidar,Acute Diarrhoeal Disease,18,,19,7,2013,18.083333,77.333333,0.9377480503,,304.32,319
5663,29th week,Karnataka,Bijapur,Acute Diarrhoeal Disease,10,,18,7,2013,16.8269911,75.7175387,0.5386506808,1.0,291.87,319
5664,29th week,Karnataka,Chamarajanagar,Dengue,30,,12,7,2013,11.9346006,76.9328209,0.7409027245,,299.02,319
5665,29th week,Karnataka,Yadgir,Acute Diarrhoeal Disease,16,,10,7,2013,16.7670964,77.1403984,0.3852634854,3.0,307.40000000000003,319
5666,29th week,Madhya Pradesh,Jabalpur,Acute Diarrhoeal Disease,23,,21,7,2013,23.1608938,79.9497702,1.086740289,7.0,303.14,236
5667,29th week,Madhya Pradesh,Shivpuri,Acute Diarrhoeal Disease,12,,16,7,2013,25.37524125,77.82811933,0.8315040994,14.0,299.55,236
5668,29th week,Madhya Pradesh,Seoni,Acute Diarrhoeal Disease,53,,18,7,2013,22.2758789,79.72104465,1.387257754,6.0,,236
5669,29th week,Maharashtra,Dhule,Cholera,38,,15,7,2013,21.13170235,74.48990147,0.7666789124,2.0,304.12,365
5670,29th week,Maharashtra,Raigad,Dengue And Chikungunya,20,,14,7,2013,18.4928092,73.13807095,2.966433885,3.0,300.0,365
5671,29th week,Maharashtra,Osmanabad,Chikungunya,30,,15,7,2013,18.16984395,76.11796321,1.047265867,3.0,302.54,365
5672,29th week,Maharashtra,Jalgaon,Cholera,67,1.0,10,7,2013,20.84288265,75.52612464,0.4966990144,4.0,,365
5673,29th week,Rajasthan,Jhunjhunu,Acute Diarrhoeal Disease,25,,13,7,2013,28.1287995,75.3992581,0.3915142683,3.0,310.6333334,201
5674,29th week,Tamil Nadu,Tiruchirappalli,Cholera,13,,17,7,2013,10.7992254,78.6811423,0.0353640941,4.0,316.02,555
5675,29th week,West Bengal,Paschim Medinipur,Acute Diarrhoeal Disease,92,,15,7,2013,22.3599134,87.41331448,0.4794822168,8.0,303.78000000000003,1030
5676,29th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,39,,12,7,2013,22.642931,88.8930579,0.2123469179,,300.72,1030
5677,29th week,West Bengal,Birbhum,Acute Diarrhoeal Disease,34,1.0,11,7,2013,24.0,87.583333,0.1215814293,,,1030
5678,29th week,West Bengal,Hooghly,Acute Diarrhoeal Disease,24,,20,7,2013,22.9052114,88.3760639,0.1942826283,,300.5,1030
5679,29th week,Arunachal Pradesh,West Siang,Acute Diarrhoeal Disease,200,2.0,27,6,2013,28.4,94.55,2.544234703,2.0,290.68,17
5680,29th week,Kerala,Palakkad,Dengue,18,,28,6,2013,10.78789845,76.47408711,1.629608303,7.0,,859
5681,29th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,15,,9,7,2013,12.7948109,79.0006411,0.1356743049,3.0,,555
5682,29th week,West Bengal,Burdwan,Dengue,305,,27,6,2013,23.2495714,87.8681751,0.55611224,7.0,309.92,1030
5683,30th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,99,,22,7,2013,15.8309251,78.0425373,0.7500775955,4.0,,308
5684,30th week,Bihar,Munger,Acute Diarrhoeal Disease,19,,23,7,2013,25.22081165,86.51720367,0.3201293737,8.0,300.14,1102
5685,30th week,Gujarat,Narmada,Acute Diarrhoeal Disease,20,,25,7,2013,21.8678464,73.5025585,0.6817206856,1.0,,308
5686,30th week,Jammu and Kashmir,Bandipora,Acute Diarrhoeal Disease,62,,25,7,2013,34.4232433,74.635965,0.5672215797,25.0,295.732,56
5687,30th week,Jammu and Kashmir,Shopian,Acute Diarrhoeal Disease,128,,22,7,2013,33.718807,74.8333311,1.25844149,20.0,294.928,56
5688,30th week,Jharkhand,Lohardaga,Acute Diarrhoeal Disease,51,,22,7,2013,23.46920055,84.73568423,0.3826473737,7.0,302.66,414
5689,30th week,Karnataka,Davangere,Cholera,36,,19,7,2013,14.4679807,75.9195682,0.4211511122,,300.12,319
5690,30th week,Karnataka,Yadgir,Acute Diarrhoeal Disease,30,,19,7,2013,16.7670964,77.1403984,0.7242744539,,303.94,319
5691,30th week,Karnataka,Yadgir,Acute Diarrhoeal Disease,19,,23,7,2013,16.7670964,77.1403984,1.400156774,2.0,,319
5692,30th week,Karnataka,Yadgir,Acute Diarrhoeal Disease,20,,24,7,2013,16.7670964,77.1403984,1.444281957,2.0,,319
5693,30th week,Karnataka,Bidar,Acute Diarrhoeal Disease,18,,21,7,2013,18.083333,77.333333,1.274581416,2.0,304.32,319
5694,30th week,Karnataka,Ballari,Acute Diarrhoeal Disease,16,,26,7,2013,15.2485413,76.8323648,0.8808416879,2.0,,319
5695,30th week,Karnataka,Gulbarga,Acute Diarrhoeal Disease,10,1.0,22,7,2013,17.166667,77.083333,1.387655941,1.0,,319
5696,30th week,Maharashtra,Dhule,Acute Diarrhoeal Disease,18,,22,7,2013,21.13170235,74.48990147,0.8190279635,1.0,,365
5697,30th week,Maharashtra,Nashik,Acute Diarrhoeal Disease,62,,20,7,2013,20.0112475,73.7902364,1.402063445,,,365
5698,30th week,Maharashtra,Thane,Malaria,37,,17,7,2013,19.1943294,72.9701779,2.168992828,1.0,,365
5699,30th week,Madhya Pradesh,Mandla,Malaria,21,,24,7,2014,22.68536625,80.58150562,1.459695788,2.0,,236
5700,30th week,Madhya Pradesh,Raisen,Acute Diarrhoeal Disease,12,2.0,25,7,2013,23.25,78.083333,2.390765664,5.0,299.40000000000003,236
5701,30th week,Madhya Pradesh,Mandsaur,Malaria,20,,18,7,2013,24.2651306,75.38718194,0.7179511373,4.0,302.34000000000003,236
5702,30th week,Madhya Pradesh,Narsinghpur,Acute Diarrhoeal Disease,92,,24,7,2013,22.9467047,79.1980228,1.561696596,7.0,,236
5703,30th week,Madhya Pradesh,Gwalior,Acute Diarrhoeal Disease,49,2.0,21,7,2013,26.2037247,78.1573628,0.9342512841,9.0,306.66,236
5704,30th week,Meghalaya,Ri Bhoi,Malaria,16,7.0,16,7,2013,25.87640255,91.85675742,1.268103184,15.0,296.85,132
5705,30th week,Tamil Nadu,Tiruvarur,Chikungunya,53,,23,7,2013,10.7760127,79.6199369,0.09663766654,6.0,297.84000000000003,555
5706,30th week,Tamil Nadu,Sivaganga,Acute Diarrhoeal Disease,17,,27,7,2013,9.851231,78.53047155,0.1589887735,,313.92,555
5707,30th week,Uttar Pradesh,Auraiya,Acute Diarrhoeal Disease,20,,20,7,2013,26.65573395,79.51504701,0.6896339193,,302.44,828
5708,30th week,Uttarakhand,Tehri,Acute Diarrhoeal Disease,12,2.0,24,7,2013,30.40260205,78.38835789,1.119331194,29.0,294.75,189
5709,30th week,West Bengal,Purulia,Cholera,21,,26,7,2013,23.3291882,86.3672378,0.5696596008,8.0,300.925,1030
5710,30th week,West Bengal,Purulia,Acute Diarrhoeal Disease,22,,26,7,2013,23.3291882,86.3672378,0.5696596008,8.0,300.925,1030
5711,30th week,Assam,Barpeta,Acute Encephalitis Syndrome,25,6.0,6,3,2013,26.34142215,91.01674328,0.001135455886,,302.8833334,397
5712,30th week,Bihar,Rohtas,Acute Diarrhoeal Disease,37,2.0,10,7,2013,24.6723487,83.92090397,0.5918222799,7.0,311.26,1102
5713,30th week,Chhattisgarh,Mahasamund,Acute Diarrhoeal Disease,16,1.0,16,7,2013,21.1882332,82.48484762,0.6609109955,3.0,302.06,189
5714,30th week,Delhi,South west District,Cholera,50,1.0,10,7,2013,28.59449355,76.90650844,0.519847218,5.0,312.2733334,11297
5715,30th week,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Cholera,12,,14,7,2013,20.2712521,73.0014588,2.044548616,1.0,,698
5716,30th week,Karnataka,Tumkur,Chikungunya,15,,15,7,2013,13.3400771,77.1006208,0.4911328847,3.0,305.16,319
5717,30th week,Maharashtra,Aurangabad,Dengue,21,,30,6,2013,19.877263,75.3390241,0.8336507839,3.0,,365
5718,30th week,Maharashtra,Beed,Dengue,24,,9,7,2013,18.9918442,75.909784,0.2396789167,2.0,290.88,365
5719,30th week,West Bengal,Burdwan,Dengue,372,1.0,27,6,2013,23.2495714,87.8681751,0.55611224,7.0,309.92,1030
5720,31st week,Andhra Pradesh,Nellore,Acute Diarrhoeal Disease,27,,1,8,2013,13.4923257,79.202539,0.1091315018,9.0,306.68,308
5721,31st week,Telangana,RangaReddy,Acute Diarrhoeal Disease,91,1.0,2,8,2013,17.1333954,78.39709787,1.10395918,9.0,,312
5722,31st week,Telangana,RangaReddy,Acute Diarrhoeal Disease,56,,2,8,2013,17.1333954,78.39709787,1.10395918,9.0,,312
5723,31st week,Assam,Kamrup,Cholera,14,,1,8,2013,26.12755515,91.29987148,2.470183416,9.0,299.54,397
5724,31st week,Chhattisgarh,Janjgir,Malaria,97,,27,7,2013,22.0090841,82.578896,1.233917148,,301.62,189
5725,31st week,Karnataka,Bidar,Cholera,17,,29,7,2013,18.083333,77.333333,0.7910202335,6.0,,319
5726,31st week,Karnataka,Davangere,Cholera,21,,27,7,2013,14.4679807,75.9195682,1.055395054,,,319
5727,31st week,Karnataka,Davangere,Acute Diarrhoeal Disease,22,,2,8,2013,14.4679807,75.9195682,0.3466214151,6.0,,319
5728,31st week,Karnataka,Gulbarga,Acute Diarrhoeal Disease,22,,31,7,2013,17.166667,77.083333,0.2325508916,5.0,,319
5729,31st week,Karnataka,Gulbarga,Acute Diarrhoeal Disease,39,,28,7,2013,17.166667,77.083333,0.869382173,,,319
5730,31st week,Karnataka,Haveri,Acute Diarrhoeal Disease,15,,30,7,2013,14.7874825,75.3996731,1.818451938,3.0,,319
5731,31st week,Karnataka,Mandya,Acute Diarrhoeal Disease,15,,28,7,2013,12.5238888,76.8961961,0.2619368899,,297.86,319
5732,31st week,Karnataka,Shimoga,Acute Diarrhoeal Disease,16,,24,7,2013,13.9326093,75.574978,1.218428846,2.0,,319
5733,31st week,Karnataka,Tumkur,Cholera,34,,30,7,2013,13.3400771,77.1006208,0.2492381804,5.0,,319
5734,31st week,Madhya Pradesh,Jhabua,Acute Diarrhoeal Disease,76,,31,7,2013,22.88585225,74.72513369,1.016528786,4.0,,236
5735,31st week,Madhya Pradesh,Khandwa,Dengue,24,,26,7,2013,21.9778642,76.56882823,1.226914242,2.0,,236
5736,31st week,Maharashtra,Thane,Acute Diarrhoeal Disease,20,,31,7,2013,19.1943294,72.9701779,2.746087554,7.0,,365
5737,31st week,Punjab,Amritsar,Acute Diarrhoeal Disease,15,,3,8,2013,31.6343083,74.8736788,0.8243881827,16.0,301.9866666,550
5738,31st week,Tamil Nadu,Vellore,Chikungunya,45,,25,7,2013,12.7948109,79.0006411,0.2010350256,5.0,308.54,555
5739,31st week,Uttar Pradesh,Jalaun,Acute Diarrhoeal Disease,30,,27,7,2013,26.105546,79.42765265,0.9081972174,,303.39,828
5740,31st week,West Bengal,Purulia,Acute Diarrhoeal Disease,34,1.0,30,7,2013,23.3291882,86.3672378,1.296523229,8.0,300.81,1030
5741,31st week,West Bengal,Burdwan,Acute Diarrhoeal Disease,65,,29,7,2013,23.2495714,87.8681751,0.936807591,6.0,,1030
5742,31st week,West Bengal,Hooghly,Acute Diarrhoeal Disease,34,,29,7,2013,22.9052114,88.3760639,1.231089027,10.0,301.14,1030
5743,31st week,Assam,Kamrup,Acute Encephalitis Syndrome,57,7.0,8,2,2013,26.12755515,91.29987148,0.000312370871,19.0,298.17,397
5744,31st week,Chhattisgarh,Korba,Malaria,49,,13,7,2013,22.3547468,82.7110855,0.968520359,6.0,299.89,189
5745,31st week,Maharashtra,Raigad,Dengue,50,,19,7,2013,18.4928092,73.13807095,2.505998961,,301.76,365
5746,31st week,Uttar Pradesh,Auraiya,Acute Diarrhoeal Disease,47,,23,7,2013,26.65573395,79.51504701,1.008140275,9.0,302.44,828
5747,31st week,West Bengal,Birbhum,Acute Diarrhoeal Disease,51,,15,7,2013,24.0,87.583333,0.2398459689,8.0,303.44,1030
5748,31st week,Assam,Dibrugarh,Acute Encephalitis Syndrome,183,48.0,16,6,2013,27.4844597,94.9019447,0.0257022512,17.0,303.77,397
5749,31st week,Assam,Sivasagar,Acute Encephalitis Syndrome,105,36.0,8,2,2013,26.9834936,94.6394226,0.007902201888,8.0,297.34000000000003,397
5750,31st week,Assam,Tinsukia,Acute Encephalitis Syndrome,81,23.0,15,1,2013,27.52016575,95.53063473,0.01251454682,17.0,291.36333340000004,397
5751,32nd week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,34,2.0,5,8,2013,14.6546235,77.55625984,0.03424359017,,308.62,308
5752,32nd week,Chhattisgarh,Bilaspur,Acute Diarrhoeal Disease,43,,7,8,2013,21.98934025,82.10996499,0.4016766318,4.0,,189
5753,32nd week,Chhattisgarh,Janjgir,Acute Diarrhoeal Disease,18,,31,7,2013,22.0090841,82.578896,1.644637493,10.0,300.06,189
5754,32nd week,Chhattisgarh,Raigarh,Acute Diarrhoeal Disease,80,,2,8,2013,22.5,83.5,0.9168605376,11.0,,189
5755,32nd week,Jammu and Kashmir,Kulgam,Acute Diarrhoeal Disease,81,,3,8,2013,33.66980055,75.01480232,2.089850156,22.0,299.7266666,56
5756,32nd week,Jammu and Kashmir,Kupwara,Acute Diarrhoeal Disease,54,,9,8,2013,34.6110236,74.23847867,0.4784641837,13.0,292.524,56
5757,32nd week,Jammu and Kashmir,Reasi,Acute Diarrhoeal Disease,201,1.0,2,8,2013,33.06910315,74.83786982,1.12292574,22.0,297.945,56
5758,32nd week,Karnataka,Gulbarga,Acute Diarrhoeal Disease,21,,5,8,2013,17.166667,77.083333,1.061795428,,309.44,319
5759,32nd week,Karnataka,Chikkaballapur,Cholera,24,,6,8,2013,13.6102243,77.5127721,0.1635686968,6.0,303.81,319
5760,32nd week,Karnataka,Koppal,Acute Diarrhoeal Disease,27,,5,8,2013,15.3484144,76.1547421,0.1563539224,,305.56,319
5761,32nd week,Karnataka,Chitradurga,Dengue,14,,3,8,2013,14.2266443,76.4005122,0.177782786,4.0,302.1,319
5762,32nd week,Karnataka,Bagalkot,Acute Diarrhoeal Disease,19,,9,8,2013,16.1853166,75.6967919,0.2559595711,4.0,302.85,319
5763,32nd week,Madhya Pradesh,Panna,Acute Diarrhoeal Disease,37,,7,8,2013,24.5,80.25,0.3344112861,7.0,300.5266666,236
5764,32nd week,Maharashtra,Dhule,Cholera,69,,5,8,2013,21.13170235,74.48990147,1.809147425,,298.32,365
5765,32nd week,Maharashtra,Osmanabad,Acute Diarrhoeal Disease,16,,3,8,2013,18.16984395,76.11796321,1.102604394,5.0,,365
5766,32nd week,Mizoram,Lunglei,Acute Diarrhoeal Disease,35,,9,8,2013,22.898553,92.75192292,0.8829656673,27.0,297.35,52
5767,32nd week,Tamil Nadu,Dindigul,Dengue,28,,2,8,2013,10.3303299,78.06739791,0.05475062244,7.0,311.88,555
5768,32nd week,Tamil Nadu,Tiruvannamalai,Chikungunya,13,,5,8,2013,12.22721295,79.07015555,0.06108949063,,311.08,555
5769,32nd week,West Bengal,Bankura,Acute Diarrhoeal Disease,57,,1,8,2013,23.13195425,87.2073972,1.428228436,7.0,300.08,1030
5770,32nd week,West Bengal,Purulia,Acute Diarrhoeal Disease,47,1.0,8,8,2013,23.3291882,86.3672378,0.3806123076,4.0,301.28000000000003,1030
5771,32nd week,West Bengal,Purulia,Acute Diarrhoeal Disease,23,1.0,9,8,2013,23.3291882,86.3672378,0.5924219299,4.0,302.04,1030
5772,32nd week,West Bengal,Purulia,Cholera,13,,31,7,2013,23.3291882,86.3672378,1.288167499,8.0,300.39,1030
5773,32nd week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,131,,2,8,2013,22.642931,88.8930579,1.21407937,11.0,301.44,1030
5774,32nd week,Chhattisgarh,Raigarh,Acute Diarrhoeal Disease,25,,30,7,2013,22.5,83.5,1.018270976,11.0,,189
5775,32nd week,Madhya Pradesh,Shahdol,Acute Diarrhoeal Disease,25,2.0,27,7,2013,23.3002343,81.364771,0.9278135947,,300.90000000000003,236
5776,32nd week,Madhya Pradesh,Sidhi,Malaria,627,,23,7,2013,24.25,82.0,0.7037924451,8.0,305.24,236
5777,32nd week,Maharashtra,Jalgaon,Cholera,40,,29,7,2013,20.84288265,75.52612464,1.575514364,7.0,,365
5778,32nd week,Maharashtra,Jalgaon,Dengue,31,,30,7,2013,20.84288265,75.52612464,1.050378125,7.0,,365
5779,32nd week,Maharashtra,Nagpur,Dengue,12,,17,7,2013,21.1498134,79.0820556,1.853925705,1.0,,365
5780,32nd week,West Bengal,West Medinipur,Acute Diarrhoeal Disease,59,,30,7,2013,22.2788943,87.92227864,2.50305217,6.0,,1030
5781,33rd week,Telangana,Mahabubnagar,Acute Diarrhoeal Disease,16,,15,8,2013,16.69656855,77.95911462,0.2247113055,6.0,307.32,312
5782,33rd week,Andhra Pradesh,Srikakulam,Acute Diarrhoeal Disease,16,,16,8,2013,18.32002205,83.9160772,0.5241072051,17.0,301.72,308
5783,33rd week,Jammu and Kashmir,Kulgam,Acute Diarrhoeal Disease,46,,10,8,2013,33.66980055,75.01480232,1.22855445,15.0,296.156,56
5784,33rd week,Karnataka,Gadag,Acute Diarrhoeal Disease,11,,17,8,2013,15.4206667,75.6225644,0.3438536018,4.0,307.78000000000003,319
5785,33rd week,Karnataka,Gadag,Acute Diarrhoeal Disease,18,,17,8,2013,15.4206667,75.6225644,0.3438536018,4.0,307.78000000000003,319
5786,33rd week,Karnataka,Chikkaballapur,Dengue,15,,17,8,2013,13.6102243,77.5127721,0.6849752879,4.0,306.5,319
5787,33rd week,Karnataka,Raichur,Dengue,40,,11,8,2013,16.083333,77.166667,0.1382589224,3.0,,319
5788,33rd week,Madhya Pradesh,Khargone,Acute Diarrhoeal Disease,35,,10,8,2013,21.825599,75.614182,0.7777721022,6.0,,236
5789,33rd week,Maharashtra,Gondia,Acute Diarrhoeal Disease,17,,11,8,2013,21.455228,80.1962729,1.318898847,2.0,,365
5790,33rd week,Odisha,Ganjam,Acute Diarrhoeal Disease,67,,9,8,2013,19.4129711,85.04710406,,6.0,303.90000000000003,269
5791,33rd week,Odisha,Subarnapur,Acute Diarrhoeal Disease,19,,15,8,2013,19.08143,84.5144503,0.708920688,9.0,298.78000000000003,269
5792,33rd week,Odisha,Keonjhar,Acute Diarrhoeal Disease,18,,18,8,2013,21.5,85.5,0.6153822204,19.0,300.735,269
5793,33rd week,Punjab,Shahid Bhagat Singh Nagar,Acute Diarrhoeal Disease,15,,18,8,2013,31.1239515,76.1201871,0.9829391138,20.0,299.87333340000004,550
5794,33rd week,West Bengal,Purulia,Cholera,30,,8,8,2013,23.3291882,86.3672378,0.3806123076,4.0,301.28000000000003,1030
5795,33rd week,West Bengal,Burdwan,Dengue,36,,15,8,2013,23.2495714,87.8681751,0.7434617982,7.0,,1030
